Category,Sub-category,Factor,Weightage,Why It Matters,How To Check,How To Improve
Content & Intent,On-Page Keyword Targeting,Semantic Variants & Related Terms,75,Including related phrases helps cover user phrasing variations and strengthens topical relevance.,Use keyword tools and PAA to list variants; check if they appear in headings and body content.,"Integrate related phrases into subheadings, FAQs and examples without keyword stuffing."
Content & Intent,Search Snippet Relevance,Title Tag Message Match,75,The title must reflect both the keyword and the core benefit to entice clicks and set correct expectations.,Compare title tags to actual on-page content and to competitor titles in the SERP.,"Rewrite titles to highlight benefit, primary keyword and differentiator (e.g. location, USP)."
Authority & Links,Domain Authority / Site-Level Trust,Referring Domain Quantity,75,"Number of unique domains linking to the site; more diverse, quality domains typically indicate stronger authority.",Use backlink tools to count referring domains and compare with competitors.,"Pursue campaigns that earn links from new, relevant sites rather than repeating the same sources."
Authority & Links,Domain Authority / Site-Level Trust,Branded Search Volume,75,Growing branded search signals stronger brand recognition and often correlates with higher trust and resilience.,Monitor branded queries in GSC and trend data in keyword tools.,"Run brand campaigns (PR, offline ads, social) that drive users to search your brand name directly."
Authority & Links,Page-Level Backlinks,Anchor Text Relevance & Naturalness,75,Anchors that describe the target topic help relevance; over-optimised anchors can trigger spam signals.,Analyse anchors for each key URL; look for overuse of exact-match phrases.,"Encourage varied, natural anchors in outreach (brand + topic, partial match, descriptive phrases)."
Authority & Links,Topical Authority / Content Hub Strength,Existence of Hub Pages,75,Central hub pages that organise a topic help search engines understand your topical coverage.,Identify if there are overview pages that link to all major subtopics for a theme.,Create hub pages (e.g. 'Complete Guide to X') that summarise and link to related detailed articles.
Authority & Links,Topical Authority / Content Hub Strength,Coverage of Subtopics in Cluster,75,Covering all key subtopics shows breadth and depth on a subject area.,Map all articles to topic clusters; compare coverage vs leading competitors.,Plan and publish missing subtopic articles; connect them back to the hub and between each other.
Authority & Links,Link Profile Health,Spammy / Toxic Links,75,Large numbers of obviously manipulative or toxic links can trigger algorithmic demotions or manual penalties.,"Use backlink tools to identify low-quality domains, link networks and irrelevant foreign-language sites.",Stop spammy link building; disavow clearly toxic domains if necessary; focus on white-hat link acquisition.
Authority & Links,Link Profile Health,Outgoing backlinks/incoming backlinks ratio,75,"This ratio measures the balance between how many outbound links your site is sending to other sites versus how many inbound links (backlinks) you are receiving. An ideal balance is crucial for maintaining a healthy link profile and avoiding any appearance of ""link farming."" Ideally, the number should be <40%","Go to the ""Backlink Profile"" section to see the number of incoming (backlinks) and outgoing (referring) links. You can compare these numbers to calculate the ratio.","While a balanced ratio is important, it’s equally important to focus on the quality of the sites you are linking to. A few high-quality, relevant outgoing links can enhance your page’s relevance and authority."
Authority & Links,Link Profile Health,Unique IPs,70,"Backlinks from a variety of sources (websites hosted on different IPs) are generally considered more valuable than multiple links from the same IP. Having backlinks from multiple unique IPs signals to search engines that your site is being recognized by a broad range of reputable sources, which can improve your domain authority.","Ahrefs: In the ""Backlink Profile"" section, Ahrefs shows a list of domains and the IP addresses associated with them. You can check how many unique IPs are linking to your site.","Focus on gaining backlinks from websites hosted on different networks and servers. This could involve outreach to a variety of websites in your industry, guest posting, media mentions, etc."
Technical & Crawl,Indexation Status of Key URLs,Coverage of Important Templates,75,"If entire sections (e.g. categories, locations) are poorly indexed, you lose large ranking potential.",Group pages by template or directory; compare crawled vs indexed counts.,Improve internal linking and sitemaps for under-indexed sections; fix technical issues affecting those templates.
Technical & Crawl,Site Speed & Core Web Vitals,Largest Contentful Paint (LCP),75,Measures how quickly the main content loads; slow LCP hurts both rankings and UX.,Check LCP in PageSpeed Insights and CWV reports (field data).,"Optimise hero images, critical CSS and server response times; use caching and CDNs."
Technical & Crawl,Site Speed & Core Web Vitals,Interaction to Next Paint (INP) / Responsiveness,75,Measures responsiveness to user input; poor INP leads to sluggish UX and can impact rankings.,"Use INP metrics in CWV and field data reports to identify pages with poor interaction latency, then reduce heavy JavaScript, defer non-critical scripts, and optimise main thread work to improve Site Speed & Core Web Vitals","Optimise JavaScript rendering by reducing heavy scripts, deferring non-critical resources, implementing lazy loading for below-the-fold content, and minimising main thread work"
Technical & Crawl,Mobile-Friendliness & Responsive Design,Viewport & Layout,75,Improper viewport or layout can make content unreadable or difficult to use on mobile devices.,Run mobile-friendly tests; manually inspect layout on common screen sizes.,Set correct viewport meta tag; use responsive grids and avoid fixed-width elements.
Technical & Crawl,Site Architecture & Crawl Depth,Click Depth to Key Pages,75,Pages buried too deep are crawled less often and considered less important.,Crawl site; measure click distance from homepage to important URLs.,"Reduce depth by linking key pages from nav, hubs, and high-authority pages."
Technical & Crawl,Site Architecture & Crawl Depth,Orphan & Near-Orphan Pages,75,Pages with few or no internal links are hard to discover and rarely rank.,Compare crawl data with XML sitemaps and analytics; identify URLs with zero or few inlinks.,Add contextual internal links from relevant pages; include priority pages in navigation where appropriate.
Technical & Crawl,Canonicalisation & Duplicate Handling,URL Parameter & Facet Control,75,Uncontrolled parameter URLs create duplicates that dilute authority and waste crawl budget.,List parameterised URLs from logs or crawls; review canonical tags and robots rules.,"Use canonicals, noindex, or parameter rules to restrict indexing of low-value filtered/sorted variants."
UX & Engagement,CTR from SERPs,Position-Adjusted CTR,75,"CTR should be compared to typical CTR at that position; Low CTR may indicate snippet issues, misalignment with search intent, or strong competition",Extract CTR and average position from GSC; compare with benchmarks per position band.,Improve titles and metas; consider rich result optimisation and better angle for the topic. Optimize snippet copy to match search intent.
UX & Engagement,On-Page Engagement,Scroll Depth & Content Layout,75,Poor layout or burying key information reduces engagement and task completion.,Use scroll tracking and heatmaps to see how far users scroll on key pages.,Move critical information higher; add visual breaks and compelling subheadings to pull users down the page.
UX & Engagement,On-Page Engagement,Key Interaction Events,75,"Clicks on key elements (tabs, accordions, CTAs) indicate active engagement beyond mere scrolling.",Instrument events in analytics; monitor interaction rates on key elements.,Make CTAs prominent; ensure interactive elements are intuitive and add clear value.
SERP Environment,SERP Features Presence,Featured Snippet & AI Overview Competition,75,Featured snippets or AI modules can capture clicks even if traditional rankings remain.,Inspect SERPs to see if queries trigger snippets/AI; check if competitors occupy those spots.,"Structure content with concise definitions, lists and tables; use schema and clear headings to target snippets."
SERP Environment,SERP Features Presence,Local Pack & Vertical Integrations,75,"Local packs, shopping carousels or other verticals can dominate above-the-fold space.",Check SERPs for the presence and position of local/shopping packs for target queries.,Optimise GBP and product feeds; consider local SEO or shopping optimisation alongside organic pages.
SERP Environment,Competitor Content Upgrades,Competitor Content Depth Changes,75,"Competitors adding new sections, FAQs or media can increase their relative value and outrank you.",Use change monitoring tools; manually compare old vs new versions for key competitor pages.,Regularly benchmark your pages; match or exceed competitors’ depth and usefulness.
SERP Environment,Google Algorithm Updates,Helpful Content / Quality Updates Impact,75,Updates focused on helpful content can heavily affect sites with shallow or SEO-first content.,Compare traffic and rankings before/after update dates; identify sections most affected.,"Audit content for genuine usefulness; remove or improve thin, repetitive or unhelpful pages."
SERP Environment,Google Algorithm Updates,Spam & Link Updates Impact,75,Sites with manipulative link profiles can see sudden drops during spam updates.,Look for traffic drops aligning with link-related updates; review backlink profile for risky patterns.,Clean up spammy link tactics; disavow clearly toxic links; shift to quality-first link building.
Local & Entity,GBP Optimisation,GBP Completeness & Categories,75,Fully completed profiles and correct primary/secondary categories improve local pack relevance.,"Review GBP fields, categories and attributes in the dashboard.","Fill all fields, choose precise categories, and keep business info up to date."
Local & Entity,Reviews & Ratings,Average Rating & Volume,75,Higher ratings and sufficient volume drive both rankings and user trust.,Monitor rating and review count on Google and key platforms.,Implement ethical review generation flows and post-visit prompts; maintain excellent service.
Freshness,Content Recency vs Query Type,Update Cadence for Time-Sensitive Topics,75,"Topics such as pricing, regulations or technology require frequent updates to stay competitive.",Check publication and last-updated dates for key pages vs competitors.,Schedule refreshes for time-sensitive pages and incorporate the latest information and examples.
LLM Discoverability,"Clear, Structured Answers",Question–Answer Formatting,75,Clearly labelled questions and answers make content easier for LLMs and users to consume.,Review key pages for explicit questions (as headings) and concise answer blocks.,Add FAQ sections and use headings that reflect common user questions.
LLM Discoverability,"Clear, Structured Answers",Step-by-Step Instructions,75,How-to tasks broken into numbered steps are easy to reuse in LLM responses and help users complete tasks.,Review guides and tutorials for presence of ordered steps and clear sequencing.,Refactor instructions into numbered steps with clear start and end points.
LLM Discoverability,"Licensing, Robots & Access",Robots & Meta Controls for AI Crawlers,75,Specific directives may allow or restrict AI model access to your content.,Inspect robots.txt and meta tags for any AI/ML-specific rules; review server logs for AI user agents.,Set consistent policy across the site for AI access based on business goals; avoid accidental blocking of important sections.
LLM Discoverability,Consistency & Accuracy of Facts,Canonical Facts Page,75,Centralising core facts reduces contradictions across pages and external profiles.,"Check if there is a single, authoritative page with key facts (founded date, HQ, services, etc.).",Create and maintain an About/FAQ page that lists agreed canonical facts; reference it in schema.
LLM Discoverability,Consistency & Accuracy of Facts,Cross-Channel Fact Alignment,75,Misaligned info across the web makes it harder for LLMs and users to know what is correct.,"Audit website, GBP, social profiles and key directories for discrepancies in core facts.",Update inconsistent listings and profiles to match canonical facts.
Internal Linking,Internal Link Volume & Quality,Inlinks to Priority Pages,75,Priority pages need sufficient internal links to signal importance and drive authority.,Use crawl data to count internal inlinks for each target page.,"Add links from high-authority pages (homepage, hubs) to priority URLs using descriptive anchors."
Content & Intent,Topical Relevance & Coverage,Entity & Jargon Coverage,60,"Mentioning key entities (brands, tools, locations, standards) and domain-specific terms helps search engines understand depth and relevance.",Extract entities from top-ranking pages; compare with your content using NLP/entity extraction tools.,Add relevant entities and define important jargon clearly; avoid meaningless keyword stuffing.
Content & Intent,On-Page Keyword Targeting,Internal Anchor Text Optimisation,60,Descriptive internal anchors signal page topics and help distribute relevance internally.,Export internal links to target pages; review anchor phrases for relevance and variation.,Replace generic anchors ('click here') with descriptive topics ('SEO audit services in Singapore').
Content & Intent,Search Snippet Relevance,Meta Description Compellingness,60,A strong description can significantly improve CTR even if it is not a direct ranking signal.,Review CTR vs impressions in GSC; compare your snippet to competing snippets for the same query.,"Craft descriptions with clear value, proof and a CTA; mention key features, offers or outcomes."
Content & Intent,Search Snippet Relevance,Snippet–Content Consistency,60,Promising something in the snippet and not delivering increases bounces and reduces trust.,Check if users quickly exit after landing; confirm snippet promises match content sections.,Ensure hero text and above-the-fold content deliver on what the snippet promises.
Authority & Links,Page-Level Backlinks,Link Placement & Context,60,In-content editorial links tend to be more valuable than sidebar or footer links.,Inspect a sample of linking pages to see where links are placed and in what context.,Prioritise editorial placements within the main content body when doing outreach.
Authority & Links,Topical Authority / Content Hub Strength,Internal Linking Within Cluster,60,Links between cluster pages pass authority and clarify topical relationships.,Crawl and filter links between pages in the same topic cluster.,Add contextual internal links between related articles within the same cluster.
Authority & Links,Brand Mentions,Volume of Mentions,60,More people talking about the brand across the web usually indicates greater prominence and trust.,Use brand monitoring tools to count mentions across web and social over time.,"Increase PR activity, partnerships, sponsorships and community engagement that naturally trigger brand mentions."
Authority & Links,Brand Mentions,Sentiment & Context of Mentions,60,"Positive, contextually relevant mentions support trust; negative coverage or spammy mentions can hurt brand perception.",Analyse sentiment of brand mentions; review context of high-visibility mentions manually.,"Address negative feedback, improve service, and encourage positive coverage from happy customers."
Authority & Links,Link Profile Health,Link Velocity & Patterns,60,Unnatural spikes or highly patterned anchors/placements can look manipulative.,Chart new links over time; examine anchor distribution and link types.,"Aim for steady, organic link growth from varied sources; avoid large-scale, identical placements."
Technical & Crawl,Site Speed & Core Web Vitals,Cumulative Layout Shift (CLS),60,Layout shifts during load frustrate users and are a core Web Vital.,Review CLS in field data reports and lab tools; watch recordings of page load.,Set explicit width/height for images and iframes; avoid inserting content above existing content after load.
Technical & Crawl,Mobile-Friendliness & Responsive Design,Tap Targets & Font Size,60,Small text or closely packed buttons cause usability problems and can trigger mobile issues.,Use mobile usability reports; manually test navigation and forms on mobile.,"Increase font sizes, button sizes and spacing; avoid tiny links especially in nav and forms."
Technical & Crawl,Canonicalisation & Duplicate Handling,Near-Duplicate Content Across URLs,60,Similar content on different URLs can confuse search engines about which page to rank.,"Use crawl tools to find duplicate titles, descriptions, and content similarity.","Merge or consolidate similar pages; set canonical to a single, strong version."
Technical & Crawl,HTTPS & Security,HTTPS Coverage & Redirects,60,All pages should use HTTPS; mixed usage can signal poor security practices.,Check if HTTP URLs redirect to HTTPS; scan site for any non-HTTPS live URLs.,Force HTTPS with 301 redirects globally; update internal links and canonical tags to HTTPS versions.
Technical & Crawl,Structured Data Validity,Schema Errors & Warnings,60,Broken schema prevents rich results and can confuse search engines about content type.,Run Rich Results Test and monitor GSC enhancements reports for errors/warnings.,"Fix invalid properties, missing required fields and syntax issues in JSON-LD."
Technical & Crawl,Structured Data Validity,Coverage of Relevant Schema Types,60,"Using schema that matches your content type (Product, Article, LocalBusiness, FAQ) enhances understanding and eligibility for features.",Audit key templates for the presence of appropriate schema types.,Implement and maintain schema for all major content types and keep it updated when content changes.
UX & Engagement,Bounce / Return-to-SERP Behaviour,Time-to-First-Meaningful-Answer,60,"If users must hunt for the answer, they are more likely to bounce back to SERP. potentially impact rankings","Review page structure; watch recordings; check how quickly the core answer appears above the fold. Use GA4 to monitor scroll depth, average engagement time per page, and engaged sessions.",Summarise key answer or recommendation near the top; support with more detail below.
UX & Engagement,Bounce / Return-to-SERP Behaviour,"Intrusive Elements (Popups, Ads)",60,Aggressive popups and ads can cause immediate exits and poorer UX signals.,Audit pages on mobile and desktop for interstitials; review user feedback and recordings.,Tone down or delay popups; reduce clutter; ensure content is accessible before any prompts.
SERP Environment,Competitor Content Upgrades,Competitor UX & Design Updates,60,"Better UX can improve engagement, CTR and conversions, indirectly influencing rankings.",Review competitor layouts and UX changes over time; observe their engagement signals where estimable.,"Update your templates with clearer layouts, improved visuals and mobile-first design."
SERP Environment,Query Mix / Demand Changes,Seasonality Effects,60,Many industries have seasonal demand; traffic can drop even when rankings hold or improve.,Compare impressions and clicks year-on-year for key periods; use seasonal trend data.,Create seasonal campaigns and content; align budgets and expectations with seasonal curves.
SERP Environment,Query Mix / Demand Changes,Topic / Product Substitution,60,User interest may shift to alternative solutions or terms; older queries decline.,Check emerging keywords and declining terms in GSC and keyword tools.,"Expand content to cover new, adjacent topics and update messaging to reflect changing user preferences."
Local & Entity,GBP Optimisation,"Photos, Posts & Updates",60,"Fresh photos and posts signal an active, engaging business and can influence user choice.","Check photo count, recency, and presence of Posts in GBP.",Upload high-quality interior/exterior and product photos; post offers and updates regularly.
Local & Entity,Reviews & Ratings,Recency & Response Behaviour,60,"Recent reviews and owner responses show an active, customer-focused business.",Check how recent the last 10–20 reviews are and whether responses are prompt.,Respond quickly and professionally to all reviews; encourage ongoing feedback from new customers.
Local & Entity,Entity Recognition & Knowledge Graph,Schema-Based Entity Markup,60,"Schema about your organisation, people and products helps systems connect your entities.","Validate Organization, Person and Product schema on relevant pages.",Implement detailed entity schema with sameAs links to key profiles and directories.
Local & Entity,Entity Recognition & Knowledge Graph,External Authoritative Profiles,60,"Profiles on trusted sites (Wikipedia, major directories, industry associations) help establish your entity in the graph.",Search brand and key people to see if such profiles appear; review consistency of information.,Create and maintain profiles on authoritative sites where possible; ensure consistent naming and facts.
Local & Entity,NAP & Citations,NAP Consistency Across Web,70,"Consistent Name, Address and Phone across your website, GBP and major directories helps Google confirm that multiple references point to the same real-world business, which supports both local rankings and trust.","Compare NAP on site, GBP and key directories. Use a citation audit tool or manual spot checks for mismatches in name, address format, phone, and URL.",Standardise an official NAP format. Update major directories and citations to match. Fix duplicate or outdated listings.
Local & Entity,Local Landing Pages,Local Relevance of Primary Location Page,70,"A strong location page that clearly targets the city or area, answers local user intent and is internally linked from GBP and navigation gives Google a clear “entity home” for the local business.","Review the page GBP links to. Check that it has unique local content, the full NAP, embedded map, local FAQs, and mentions of neighbourhoods or service areas.","Build or enhance a dedicated location or “contact” page with unique local copy, NAP, map, local testimonials and clear calls to action. Link GBP to this page."
Freshness,Content Recency vs Query Type,Perceived Freshness in SERP,60,Visible dates in snippets affect click behaviour and perceived relevance.,"Inspect snippets for date stamps, both for your site and competitors.",Ensure pages update meaningfully so Google can show fresh dates; avoid fake date changes.
Freshness,Site-Wide Freshness & Content Velocity,Content Pruning & Consolidation,60,"Removing or merging stale, low-performing content can improve overall quality signals.",Identify pages with long-term low traffic and weak engagement; check for overlap with other URLs.,"Rewrite, merge or deindex underperforming content that doesn’t fit strategy."
LLM Discoverability,"Licensing, Robots & Access",Paywall & Gating Strategy,60,Hard paywalls limit content visibility to crawlers and LLMs; soft paywalls may allow partial use.,Review key content journeys; test access from clean browsers without login.,Decide which content should be open vs gated; consider teaser sections with public summaries.
LLM Discoverability,Topical Breadth & Depth,Knowledge Base Coverage,60,Comprehensive documentation and FAQs on key topics increase the chance that LLMs rely on your site.,Map all informational pages to a matrix of key topics and questions.,"Fill gaps with new articles, FAQs and glossaries; link them in a logical knowledge hub."
Internal Linking,Internal Link Volume & Quality,Anchor Text Diversity & Relevance,60,Varied but relevant anchors strengthen topical signals while avoiding spam patterns.,Export internal anchors for key URLs; check for over-reliance on one phrase.,"Use a mix of exact, partial and descriptive anchors reflecting user language. "
Internal Linking,Navigation Structure & UX,Menu & Footer Exposure of Key Sections,60,Pages linked from global navigation elements are treated as more important and are more discoverable.,Review menus and footers; cross-check which sections are accessible from every page.,Add key category and service pages to nav or footer in a user-friendly way.
Index Hygiene,Thin / Low-Value Indexed Pages,"Low-Traffic, Low-Engagement Content",60,Large volumes of low-engagement pages can drag down overall site quality signals.,Identify URLs with minimal traffic and poor engagement over 6–12 months.,"Decide per page whether to improve, merge or noindex based on strategic importance."
Index Hygiene,Thin / Low-Value Indexed Pages,"Tag, Archive & Search Pages",60,"Uncontrolled indexing of tag and archive pages creates thin, duplicative content.","Crawl for tag, category and search result URLs that are indexed.",Noindex low-value archives and internal search results; focus on optimised landing pages.
Index Hygiene,Soft 404s & Broken Pages,True 404/410 Errors,60,Broken links harm UX and can waste crawl budget if not managed properly.,Use crawl tools and GSC coverage reports to identify 404 and 410 responses.,Redirect to the most relevant existing page where appropriate; otherwise serve proper 404/410 with helpful navigation.
Index Hygiene,Soft 404s & Broken Pages,Soft 404s (Thin or Useless Pages Returning 200),60,Pages that look like errors or have almost no value but return 200 can be treated as soft 404s by Google.,Review GSC soft 404 reports and thin pages with near-zero content or product availability.,"Improve content, redirect to better alternatives, or show proper 404/410 responses as appropriate."
Index Hygiene,Crawl Budget Waste,Duplicate Content Indexed,60,Splits ranking signals and wastes crawl budget.,Use Screaming Frog + GSC “Duplicate” reports.,"Add canonical tags, consolidate pages, rewrite thin duplicates."
Index Hygiene,Crawl Budget Waste,Parameter/Session URLs Indexed,60,Creates unlimited duplicate versions of the same page.,Check GSC Coverage → inspect URLs with parameters.,"Block via robots.txt, add canonical tags, set parameter handling rules."
Index Hygiene,Crawl Budget Waste,Faceted Navigation Indexed,60,Faceted filters create thousands of low-value URLs.,Crawl site filters/sorting; check Google index using site:.,"Noindex filter pages, canonical to main category, restrict crawl paths."
Index Hygiene,Canonicalization Issues,Missing Canonical Tags,60,"Google chooses the preferred URL on its own, causing indexing issues.",Screaming Frog → Canonical column.,Add self-referencing canonical tags to each page.
Index Hygiene,Canonicalization Issues,Conflicting Canonicals (Self vs Cross),60,"Gives Google mixed signals, leading to wrong page ranking.",Check pages manually; crawl canonical structure.,Use correct self-canonicals; avoid cross-canonicals unless intentional.
Index Hygiene,Duplicate/Similar Pages,Paginated Pages Indexed Incorrectly,60,Pagination pages become thin/duplicate content.,Search: site:domain.com inurl:/page/.,"Add noindex,follow or canonical to main page."
Index Hygiene,Duplicate/Similar Pages,HTTP & HTTPS Both Indexed,60,Creates duplicate versions of your entire site.,Search: site:domain.com -https.,Redirect all HTTP → HTTPS; update internal links.
Index Hygiene,Redirect & Error State Issues,Redirect Chains Indexed,60,"Slow crawl, wasted signals, weaker indexing.",Screaming Frog → Redirect chain report.,Fix chains to single-step redirects (old → new).
Index Hygiene,Redirect & Error State Issues,Redirect Loops Indexed,60,Google gets stuck and wastes crawl budget.,Screaming Frog → Loop report.,Fix redirect logic; remove circular redirects.
Index Hygiene,Redirect & Error State Issues,Non-200 Status Pages Indexed,60,Error pages indexed worsen SEO quality.,GSC Coverage Report; Screaming Frog status codes.,Fix broken pages or properly return 404/410 + remove from index.
Index Hygiene,Metadata/Noindex Issues,Noindex Pages Still Indexed,60,Means Google can’t see the noindex tag or robots rules conflict.,Inspect pages in GSC; check meta tags.,Ensure meta noindex is visible; avoid blocking via robots.txt; fix implementation.
Technical & Crawl,Image Alt Text,Image Alt Text,50,"Helps search engines understand what an image is about, improving image search visibility, accessibility, and overall page relevance for target keywords","Use an SEO crawler (e.g. Screaming Frog, Ahrefs Site Audit) to scan your site and pull a report of all images and their alt text. Then filter for images with missing, empty, or overly long alt text and prioritise fixes on key templates and high-traffic pages.","Improve image alt text by writing short, clear, keyword-relevant descriptions that accurately explain the image’s content and purpose, while using empty alt attributes for purely decorative images."
Technical & Crawl,HTTPS & Security,Mixed Content Issues,45,Loading insecure resources on secure pages can trigger browser warnings and reduce trust.,Use browser dev tools and crawlers to identify HTTP resources on HTTPS pages.,Serve all assets over HTTPS; update hard-coded asset URLs or use protocol-relative URLs.
UX & Engagement,CTR from SERPs,Device & Country-Specific CTR,45,CTR patterns differ by device and market; problems may be localised.,Segment CTR by device and country in GSC.,"Customise messaging, language and localisation for key regions; ensure mobile snippets are compelling."
UX & Engagement,Conversion Rate / Task Completion,Form Friction,45,Complicated forms reduce enquiry and lead volume from organic traffic.,Review form abandonment rates and field completion drop-offs.,Reduce the number of mandatory fields; streamline steps; add trust badges around forms.
UX & Engagement,Conversion Rate / Task Completion,Offer & Message Match,45,"If the offer doesn’t match user expectations from the query, conversions lag even with good traffic.",Compare query intent with page offer; review user feedback and survey data.,"Align offers (free consult, demo, guide) to the query’s stage; clarify value proposition in hero section."
Freshness,Site-Wide Freshness & Content Velocity,New Content Production Rate,45,Consistent publication expands your footprint and signals an active site.,Track number of new indexed pages over time by content type.,"Maintain a content calendar with regular publishing aligned to strategy, not just volume."
LLM Discoverability,Clarity of Language & Jargon Control,Definition of Technical Terms,45,Defining jargon improves comprehension for both users and models.,Review content for unexplained acronyms and technical phrases.,"Provide short, inline definitions the first time a technical term appears."
Internal Linking,Navigation Structure & UX,Breadcrumb Implementation,45,Breadcrumbs reinforce hierarchy and provide additional internal links for crawlers.,Check for visible breadcrumbs and BreadcrumbList schema on relevant pages.,Implement breadcrumbs that reflect the site’s logical hierarchy; mark them up with schema.
Internal Linking,Coverage,Orphan & Near-Orphan Content,60,"Pages with no or very few internal links are hard to discover and rarely rank, regardless of content quality.",Compare crawled URLs with analytics or CMS URL lists to find pages with zero or extremely low internal inlinks.,Either integrate these pages into relevant hubs with contextual links or deindex/consolidate them if they provide little value.
